"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
server,shclustering,"conf_replication_include.workload_rules",TRUE,,,
server,shclustering,"conf_replication_max_json_value_size",15MB,,,
server,shclustering,"conf_replication_max_pull_count",1000,,,
server,shclustering,"conf_replication_max_push_count",100,,,
server,shclustering,"conf_replication_period",5,,,
server,shclustering,"conf_replication_purge.eligibile_age",1d,,,
server,shclustering,"conf_replication_purge.eligibile_count",20000,,,
server,shclustering,"conf_replication_purge.period",1h,,,
server,shclustering,"conf_replication_summary.blacklist.lookup_index","(system|(apps/*)|users(/_reserved)?/*/*)/lookups/*.(tmp$|index($|/...))",,,
server,shclustering,"conf_replication_summary.concerning_file_size",50,,,
server,shclustering,"conf_replication_summary.period",1m,,,
server,shclustering,"conf_replication_summary.whitelist.lookups","(system|(apps/*)|users(/_reserved)?/*/*)/lookups/*",,,
server,shclustering,"conf_replication_summary.whitelist.passwd",passwd,,,
server,shclustering,"conf_replication_summary.whitelist.refine.local","(system|(apps/*)|users(/_reserved)?/*/*)/(local/...|metadata/local.meta)",,,
server,shclustering,"conf_replication_summary.whitelist.repo","system/replication/*.json",,,
server,shclustering,"csv_journal_rows_per_hb",10000,,,
server,shclustering,"cxn_timeout",120,,,
server,shclustering,"cxn_timeout_raft",4,,,
server,shclustering,"decommission_search_jobs_wait_secs",180,,,
server,shclustering,disabled,FALSE,,,
server,shclustering,"election_timeout_2_hb_ratio",12,,,
server,shclustering,"election_timeout_ms",120000,,,
server,shclustering,enableS2SHeartbeat,TRUE,,,
server,shclustering,"enable_jobs_data_lite",TRUE,,,
server,shclustering,"encrypt_fields",,,,
server,shclustering,"executor_workers",36,,,
server,shclustering,"heartbeat_period",5,,,
server,shclustering,"heartbeat_timeout",120,,,
server,shclustering,id,"D9120DE0-1819-4D9B-A8FC-6CDDEC20086F",,,
server,shclustering,"log_heartbeat_append_entries",FALSE,,,
server,shclustering,"long_running_jobs_poll_period",600,,,
server,shclustering,"manual_detention",off,,,
server,shclustering,"master_dump_service_periods",500,,,
server,shclustering,"max_peer_rep_load",5,,,
server,shclustering,"mgmt_uri","https://iaasln00001933.svr.us.jpmchase.net:8089",,,
server,shclustering,"no_artifact_replications",FALSE,,,
server,shclustering,pass4SymmKey,,,,
